location,postcode,105年底,105年 1月底,105年 2月底,105年 3月底,105年 4月底,105年 5月底,105年 6月底,105年 7月底,105年 8月底,105年 9月底,105年 10月底,105年 11月底,105年 12月底,106年底,106年 1月底,106年 2月底,106年 3月底,106年 4月底,106年 5月底,106年 6月底,106年 7月底,106年 8月底,106年 9月底,106年 10月底,106年 11月底,106年 12月底,107年底,107年 1月底,107年 2月底,107年 3月底,107年 4月底,107年 5月底,107年 6月底,107年 7月底,107年 8月底,107年 9月底,107年 10月底,107年 11月底,107年 12月底,108年 (10月底),108年 1月底,108年 2月底,108年 3月底,108年 4月底,108年 5月底,108年 6月底,108年 7月底,108年 8月底,108年 9月底,108年 10月底
機車/臺北市,-1,952180,960020,960228,959749,959033,959170,958377,956436,954554,955347,955113,954029,952180,953645,951311,951300,951574,951630,952309,952264,947969,949147,951270,952155,952759,953645,944171,953650,953563,953574,953504,953443,953605,952855,945405,945741,945686,944984,944171,945466,944142,944408,944532,944923,945100,945320,944670,944579,944923,945466
機車/松山區,105,59688,60766,60759,60698,60656,60615,60493,60197,59988,60017,59974,59892,59688,59931,59578,59500,59537,59511,59498,59473,59134,59180,59485,59788,59993,59931,59797,59859,59850,59731,59706,59701,59723,59968,59915,59900,59999,59844,59797,60744,59789,59846,59788,59846,59827,59824,59996,59972,59965,60744
機車/信義區,110,78469,79671,79677,79620,79535,79486,79353,79130,79045,78876,78820,78722,78469,77909,78312,78256,78247,78173,78225,78177,77747,77891,77983,78038,77998,77909,77482,77930,77969,77967,78040,78087,78051,77981,77560,77605,77605,77639,77482,76904,77403,77401,77361,77331,77295,77238,77048,77019,77003,76904
機車/大安區,106,75546,76586,76587,76471,76388,76384,76286,75979,75750,75750,75835,75622,75546,74949,75414,75356,75362,75333,75322,75297,74953,75013,75104,75180,75129,74949,73774,74921,74916,74866,74846,74775,74926,74745,73940,73942,73966,73895,73774,73348,73706,73743,73701,73667,73697,73633,73519,73475,73436,73348
機車/中山區,104,79925,80243,80237,80214,80145,80199,80047,79869,79608,79676,79858,79924,79925,79624,79856,79876,79848,79805,79889,79837,79399,79536,79664,79700,79694,79624,78557,79696,79666,79720,79676,79701,79732,79652,78710,78786,78708,78632,78557,80067,78579,78633,78934,78911,78996,78983,78906,78876,79579,80067
機車/中正區,100,57978,58901,58870,58889,58705,58689,58978,59130,58567,58522,58426,58288,57978,58511,57907,57927,57935,57898,57928,57903,57664,57753,58119,57938,57977,58511,56925,58132,57969,57950,57844,57778,57802,57675,57131,57106,57080,56985,56925,56898,56880,56929,56951,56965,57031,57011,57200,57262,57015,56898
機車/大同區,103,56947,57733,57776,57708,57753,57637,57588,57503,57463,57341,57216,57146,56947,56468,56867,56844,56910,56854,56939,56915,56536,56518,56550,56528,56544,56468,54795,56350,56259,56210,56126,56110,55962,55856,55041,55065,54988,54881,54795,54061,54763,54693,54598,54615,54614,54566,54455,54289,54158,54061
機車/萬華區,108,89622,91147,91203,91131,90881,90892,90756,90411,90207,90175,90013,89840,89622,88682,89462,89422,89327,89299,89268,89232,88563,88580,88724,88759,88740,88682,87035,88701,88707,88744,88696,88577,88522,88374,87300,87187,87139,87066,87035,86575,86950,86868,86846,86827,86797,86893,86681,86706,86659,86575
機車/文山區,116,95782,95627,95621,95675,95652,95807,95819,95717,95659,95816,95878,95783,95782,96385,95807,95883,95978,96052,96158,96166,95893,96023,96205,96335,96435,96385,96325,96479,96522,96577,96605,96705,96773,96837,96234,96338,96334,96333,96325,96989,96443,96516,96619,96741,96779,96885,96849,96875,96976,96989
機車/南港區,115,47936,48329,48344,48333,48354,48341,48254,48149,48125,48111,48082,47999,47936,48841,47880,47900,47910,47926,47932,47971,47726,47785,47923,47946,47913,48841,48334,48896,48879,48861,48896,48902,48883,48834,48393,48379,48374,48355,48334,48051,48284,48271,48218,48203,48147,48164,48134,48140,48089,48051
機車/內湖區,114,100038,100144,100266,100247,100237,100395,100371,100192,100067,100230,100286,100253,100038,100974,100027,100138,100081,100078,100256,100326,99985,100269,100513,100740,100848,100974,101172,101144,101200,101329,101346,101417,101530,101492,101006,101120,101156,101151,101172,101709,101322,101404,101417,101464,101578,101677,101614,101655,101756,101709
機車/士林區,111,109473,109827,109814,109697,109626,109556,109556,109390,109257,109833,109736,109623,109473,109886,109453,109453,109588,109790,109817,109794,109433,109445,109668,109784,109937,109886,108787,109967,109969,109967,109966,109973,109978,109818,109037,109083,109044,108978,108787,108598,108753,108730,108729,108859,108825,108883,108780,108759,108766,108598
機車/北投區,112,100776,101046,101074,101066,101101,101169,100876,100769,100818,101000,100989,100937,100776,101485,100748,100745,100851,100911,101077,101173,100936,101154,101332,101419,101551,101485,101188,101575,101657,101652,101757,101717,101723,101623,101138,101230,101293,101225,101188,101522,101270,101374,101370,101494,101514,101563,101488,101551,101521,101522
