鄉鎮市區,postcode,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
松山區,105,合　計,70899,105083113,1482,798,409,1593,16939.44,1142.89
大安區,106,合　計,108116,190275097,1760,859,421,1770,9966.32,566.3
中正區,100,合　計,51724,77121801,1491,809,414,1598,18793.58,1260.45
萬華區,108,合　計,52970,46452903,877,598,346,1041,1848.43,210.78
大同區,103,合　計,39758,40555607,1020,627,352,1145,2685.13,263.23
中山區,104,合　計,77544,106474571,1373,713,381,1372,10803.9,786.83
文山區,116,合　計,84072,100053077,1190,765,416,1457,2479.31,208.33
南港區,115,合　計,37421,38050114,1017,666,387,1209,2406.24,236.65
內湖區,114,合　計,90608,113005501,1247,765,420,1469,2671.09,214.17
士林區,111,合　計,90266,118918018,1317,689,383,1309,8746.91,663.94
北投區,112,合　計,78176,88799898,1136,683,383,1285,7014.1,617.49
信義區,110,合　計,73976,98598465,1333,715,392,1356,12455.44,934.5
新莊區,242,合　計,116602,92300325,792,572,351,965,946.03,119.51
林口區,244,合　計,26296,28094696,1068,735,416,1319,1327.21,124.22
五股區,248,合　計,21167,16120852,762,540,332,878,3453.73,453.48
蘆洲區,247,合　計,52130,40444111,776,564,350,936,897.75,115.71
三重區,241,合　計,106939,82907299,775,549,338,924,2275.32,293.48
泰山區,243,合　計,22520,18551799,824,607,367,1035,1030.6,125.1
新店區,231,合　計,92341,96278497,1043,659,378,1214,3161.52,303.22
石碇區,223,合　計,1686,1121682,665,491,310,791,1116.24,167.78
深坑區,222,合　計,6632,5556186,838,596,361,1008,1020.02,121.75
坪林區,232,合　計,1303,868445,666,519,316,826,603.1,90.49
烏來區,233,合　計,1201,883648,736,564,341,920,841.03,114.31
板橋區,220,合　計,158677,138960873,876,600,364,1045,1255.89,143.41
三峽區,237,合　計,26968,21719688,805,571,348,990,1044.31,129.67
鶯歌區,239,合　計,23523,16561354,704,540,347,869,660.98,93.88
樹林區,238,合　計,51246,40410578,789,570,346,955,1032.95,130.99
中和區,235,合　計,126156,107628689,853,610,366,1056,971.78,113.91
土城區,236,合　計,65257,49666547,761,558,349,935,935.74,122.95
瑞芳區,224,合　計,10210,6512594,638,500,312,792,581.49,91.16
平溪區,226,合　計,1119,664134,594,457,285,744,578.71,97.51
雙溪區,227,合　計,2130,1459346,685,487,298,796,1506.05,219.82
貢寮區,228,合　計,2764,1688776,611,463,288,731,599.59,98.13
金山區,208,合　計,5271,3296935,625,471,284,783,644.32,103.01
萬里區,207,合　計,4648,2988553,643,478,300,763,948.24,147.48
淡水區,251,合　計,45848,43154874,941,644,365,1132,3544.83,376.6
汐止區,221,合　計,61508,56444926,918,630,376,1108,1205.98,131.42
三芝區,252,合　計,5862,3987698,680,497,298,805,923.34,135.73
石門區,253,合　計,2826,1846706,653,475,305,768,1689.24,258.5
八里區,249,合　計,9203,6990853,760,550,340,912,980.99,129.14
永和區,234,合　計,70335,70418332,1001,682,385,1252,1268.81,126.73
